"id","homem","idade","ensino_superior","religiosidade","ocupacao","tempo_casamento","tem_filhos","satisfacao","affair"
4,1,2,1,3,7,10,0,4,0
5,0,1,0,4,6,4,0,4,0
6,1,1,1,3,4,1.5,0,4,1
11,0,2,0,1,1,15,1,4,0
12,0,1,1,3,1,4,1,5,1
16,1,3,1,5,6,15,1,5,0
23,1,1,1,2,6,0.75,0,3,0
29,0,2,1,2,5,1.5,0,5,0
43,1,2,1,5,6,15,1,2,1
44,0,1,0,2,1,0.75,0,3,0
45,1,3,0,2,4,15,1,4,0
47,0,2,1,4,1,15,1,2,0
49,1,1,0,4,4,1.5,0,5,0
50,1,2,1,2,7,15,1,2,0
53,0,2,1,3,5,10,1,2,1
55,1,1,1,4,6,4,1,4,0
64,1,3,1,5,6,15,1,4,0
67,1,1,1,4,5,0.125,0,5,1
79,0,1,0,2,1,1.5,1,5,1
80,0,1,1,2,5,1.5,0,4,0
86,0,1,0,4,5,4,0,4,0
93,0,2,1,1,5,15,1,5,0
108,0,2,1,2,4,15,1,3,0
114,0,1,1,3,5,0.75,0,4,0
115,0,1,1,2,5,1.5,0,5,0
116,0,1,0,2,1,10,1,5,0
122,1,2,0,4,5,15,1,2,1
123,0,1,1,2,5,1.5,0,5,0
126,0,1,0,2,3,1.5,0,4,1
127,0,1,1,2,5,1.5,0,5,0
129,0,1,1,4,5,10,1,4,0
133,1,2,1,2,6,15,1,4,1
134,0,2,0,3,1,10,1,5,0
137,1,2,1,2,6,4,1,4,0
138,0,2,0,4,3,15,1,2,1
139,0,1,1,2,5,1.5,0,5,0
147,0,1,1,4,1,7,0,5,0
151,1,3,1,5,6,15,1,4,0
153,1,1,1,3,5,4,1,5,0
154,0,2,0,4,4,15,1,2,1
155,0,1,1,3,5,4,1,4,0
159,0,3,1,3,1,15,1,4,1
162,1,3,1,4,6,15,1,3,0
163,0,1,1,3,5,1.5,0,5,0
165,1,1,1,4,6,0.4169999957084656,0,4,0
168,0,3,0,5,5,15,1,4,0
170,1,2,1,1,6,4,1,4,0
172,0,1,1,4,5,1.5,0,3,0
174,0,3,0,5,4,15,1,1,1
176,1,2,1,2,6,10,1,2,1
181,0,2,0,3,1,15,1,2,1
182,1,1,1,1,6,4,0,5,1
184,0,3,0,3,1,15,1,4,0
186,1,2,1,2,7,10,1,3,1
187,0,1,1,4,5,4,0,5,0
189,0,1,1,3,5,4,0,5,1
192,1,1,0,1,3,1.5,1,5,0
194,0,1,1,3,1,0.75,0,5,0
204,1,3,1,4,5,15,1,5,1
210,1,2,1,5,6,10,1,5,0
215,0,3,0,5,4,15,1,5,1
217,1,3,1,5,6,15,1,3,0
220,0,1,0,5,1,0.4169999957084656,0,4,0
224,0,1,1,2,6,4,1,1,0
227,0,2,1,5,5,7,1,3,0
228,1,1,1,3,5,4,0,5,0
232,0,1,1,3,5,4,1,4,1
233,0,1,0,5,1,7,1,4,1
239,0,1,1,4,6,7,1,5,0
241,0,3,1,2,5,15,1,4,0
245,1,1,1,4,3,1.5,1,5,0
249,1,3,1,2,6,15,1,4,0
252,1,1,1,3,5,1.5,1,4,1
253,0,1,0,4,6,7,1,2,1
262,0,1,0,5,3,0.75,0,5,0
265,1,2,1,2,6,7,1,4,0
267,1,1,1,5,6,4,1,5,0
269,1,1,1,4,6,10,1,4,0
271,1,1,1,1,5,4,0,5,0
274,0,3,1,4,5,15,1,4,1
275,0,1,0,4,7,10,1,3,1
277,0,2,0,4,3,15,1,1,0
287,1,1,1,2,5,1.5,0,2,1
288,1,2,1,4,6,4,0,4,1
290,1,1,1,5,4,1.5,1,4,0
292,0,2,1,4,1,15,1,5,0
293,0,1,1,4,5,0.75,0,4,0
295,1,2,1,4,6,10,1,4,0
299,0,3,0,5,7,15,1,2,0
320,1,2,1,3,6,10,1,4,0
321,0,1,1,2,5,0.75,0,5,0
324,1,1,1,2,4,4,0,5,0
325,0,1,0,3,1,7,1,3,1
328,0,2,0,4,1,10,1,4,1
334,1,2,1,4,6,7,0,4,0
344,1,1,1,2,7,4,1,2,1
351,1,3,1,2,3,15,1,5,0
353,0,1,0,5,4,0.75,0,5,1
354,0,2,1,4,1,10,1,5,1
355,1,2,1,4,6,10,1,4,0
361,0,3,1,3,6,15,1,5,0
362,0,1,1,5,5,1.5,0,5,0
366,0,1,1,2,6,1.5,0,4,0
367,0,2,1,2,6,7,1,4,1
369,1,2,1,2,6,15,1,4,1
370,0,1,1,3,5,4,0,5,0
374,0,2,0,5,4,10,1,5,0
378,0,1,0,2,5,0.125,0,5,0
381,1,3,0,4,4,15,1,3,0
382,1,2,0,1,5,15,1,5,0
383,1,1,1,4,5,7,1,5,0
384,0,1,1,3,5,1.5,1,5,0
390,0,2,1,1,5,10,0,3,1
392,0,2,1,2,5,10,1,5,1
400,1,1,1,3,6,4,1,5,0
403,0,1,1,3,5,1.5,0,5,0
409,1,3,0,2,7,15,1,2,0
412,1,1,1,3,6,1.5,1,5,0
413,1,3,1,4,6,15,1,5,0
416,0,1,1,2,3,0.75,0,4,0
418,1,3,1,4,3,4,0,3,0
422,0,1,0,4,1,1.5,1,5,0
423,1,3,1,2,6,15,1,4,1
432,0,3,0,1,1,15,1,3,1
435,0,1,1,1,6,0.4169999957084656,0,4,0
436,1,3,1,2,6,15,1,3,1
439,0,2,1,4,5,15,1,5,0
445,0,1,1,3,5,1.5,0,2,0
447,0,1,0,3,1,1.5,1,5,0
448,0,2,0,3,1,15,1,4,0
449,0,2,0,4,3,15,1,4,0
478,1,2,0,2,5,10,1,3,0
482,1,2,1,4,5,10,1,4,0
483,1,2,1,3,6,15,1,5,1
486,1,3,1,5,5,15,1,3,0
489,1,1,1,1,3,0.4169999957084656,0,4,0
490,0,3,0,5,1,15,1,5,0
491,1,3,1,3,6,15,1,1,0
492,1,2,1,1,6,10,1,4,0
503,1,2,1,3,5,15,1,5,0
508,1,2,1,4,6,15,1,5,0
509,0,1,0,5,1,10,1,5,0
512,1,2,1,2,6,10,1,4,0
513,0,1,0,3,3,4,0,4,1
515,0,1,0,4,4,0.125,0,5,0
516,1,1,1,1,6,7,1,2,1
517,1,3,1,5,6,15,1,5,0
518,1,1,1,3,5,4,1,5,1
520,1,3,1,4,6,15,1,5,1
526,0,3,0,4,1,15,1,1,1
528,1,1,0,3,3,4,0,4,1
532,0,2,1,4,6,15,1,4,0
533,1,1,0,4,6,4,1,4,0
535,1,1,1,4,5,7,1,4,0
537,1,3,1,4,5,15,1,4,0
538,1,2,0,3,6,15,1,3,0
543,0,1,0,2,5,1.5,0,4,0
547,0,2,1,4,1,7,1,5,0
550,0,2,1,4,6,15,1,5,0
553,0,2,1,4,4,7,1,5,1
558,0,2,1,5,5,1.5,0,5,0
571,1,3,1,5,7,10,1,4,0
576,1,2,0,3,3,0.4169999957084656,1,4,1
578,0,1,1,3,5,7,0,4,0
583,1,2,1,4,6,15,0,5,0
586,1,2,0,4,3,15,1,2,0
594,1,2,1,5,6,10,0,4,0
597,0,1,1,4,1,0.75,0,5,0
602,0,1,0,4,2,7,1,4,0
603,0,1,1,2,2,7,1,5,0
604,0,3,1,5,5,15,1,4,0
611,1,3,1,5,5,15,1,4,1
612,1,3,1,4,5,15,1,3,0
613,0,1,1,2,1,7,1,2,0
621,0,1,1,3,5,1.5,0,5,0
625,1,2,1,2,5,15,1,4,1
627,1,2,1,5,6,15,1,5,0
630,0,1,0,2,4,0.125,0,5,0
631,1,1,1,4,5,1.5,0,5,0
632,1,2,1,2,6,1.5,0,5,0
635,1,1,1,2,6,4,1,4,1
639,1,1,1,2,6,1.5,0,5,0
645,0,1,1,4,1,10,1,3,0
646,1,1,0,2,4,4,0,5,1
647,1,3,1,4,6,15,1,5,0
648,0,1,1,2,6,1.5,0,5,0
651,1,1,1,2,6,4,0,3,0
655,0,2,0,3,5,10,1,3,0
657,0,3,1,5,1,15,1,3,1
659,1,1,0,3,3,4,0,3,1
666,0,1,1,4,1,10,1,4,1
667,0,2,1,3,5,15,1,4,0
670,0,1,1,2,6,0.75,0,5,0
671,0,2,1,2,1,15,1,4,0
673,1,1,1,4,5,4,1,5,0
679,1,2,0,3,7,7,1,4,1
701,1,1,1,1,5,4,0,4,0
705,0,1,0,2,1,10,1,4,0
706,0,2,1,5,6,15,1,4,0
709,1,1,0,5,5,7,1,3,0
717,1,3,1,2,5,15,1,4,0
719,1,1,1,3,6,4,0,3,0
723,1,2,1,1,5,4,1,4,0
724,1,1,0,4,5,4,1,4,0
726,0,3,0,5,1,15,1,3,0
729,1,2,1,2,4,7,1,1,1
734,0,3,1,4,6,15,1,4,0
735,1,1,1,1,5,7,1,4,0
736,1,2,1,4,6,7,1,3,0
737,1,1,0,2,4,0.75,0,3,0
739,1,2,1,2,5,4,1,3,0
743,1,2,1,4,6,15,1,3,0
745,1,1,0,2,4,0.75,1,3,0
747,1,3,1,4,6,15,1,3,0
751,0,3,1,5,1,15,1,1,0
752,0,2,0,4,1,15,1,2,0
754,1,1,0,4,5,7,1,3,0
755,1,1,0,1,3,1.5,0,2,1
758,1,1,1,3,6,4,1,4,1
760,1,2,1,2,5,4,1,5,0
763,0,1,1,2,6,4,1,5,0
770,1,3,1,4,6,15,1,4,1
774,0,1,1,2,5,4,1,5,0
776,1,2,1,5,6,15,1,5,0
779,0,3,0,5,5,15,1,4,0
784,0,2,1,3,1,10,1,4,0
786,0,3,1,1,5,15,1,4,1
788,0,1,1,4,1,1.5,1,2,0
794,0,3,1,2,5,15,1,2,0
795,0,1,0,4,5,1.5,0,4,0
797,0,2,1,3,5,4,1,2,1
798,1,3,0,3,3,15,1,4,0
800,1,3,0,4,2,15,1,2,0
803,1,3,1,4,6,15,1,5,0
807,0,1,0,4,4,0.125,0,5,0
811,1,1,1,1,4,4,1,4,1
812,0,2,0,4,1,10,1,5,0
820,0,3,1,3,5,15,1,4,0
823,0,1,1,2,6,1.5,0,5,0
830,1,2,1,2,5,0.125,1,2,0
834,1,2,1,4,1,7,1,4,1
843,0,1,1,3,5,4,0,4,0
848,0,1,1,2,1,10,1,4,0
851,0,2,1,4,1,7,1,3,0
854,0,2,0,4,5,15,1,4,0
856,0,3,1,5,6,15,1,2,0
857,1,2,0,4,6,1.5,1,5,0
858,1,3,1,1,4,15,1,4,1
859,0,2,1,3,5,4,1,3,0
863,0,2,1,4,5,7,0,5,0
865,0,1,0,3,3,0.4169999957084656,1,5,0
867,0,1,0,4,1,7,1,5,0
870,1,1,1,3,5,0.75,0,5,0
873,1,1,1,2,5,4,1,5,0
875,1,2,1,4,4,10,1,5,0
876,1,2,0,1,5,15,1,5,0
877,1,1,1,3,4,0.75,0,5,0
880,0,1,1,4,1,7,1,4,0
885,0,3,0,4,5,15,1,2,1
893,1,2,1,1,5,10,1,3,1
903,1,1,1,4,5,0.4169999957084656,1,4,0
904,1,2,1,4,5,15,1,4,0
905,0,2,0,2,1,15,1,3,0
908,1,1,1,1,5,4,1,4,0
909,1,2,1,4,5,15,1,3,0
910,0,1,0,2,4,1.5,0,5,0
912,1,3,0,4,6,15,1,2,0
914,0,1,1,4,5,1.5,0,5,0
915,1,2,0,5,3,4,1,5,0
916,1,2,0,2,3,4,1,5,0
920,0,1,1,3,6,1.5,0,5,0
921,1,1,1,2,3,0.75,0,3,0
925,0,1,0,2,5,7,1,2,0
926,0,1,1,2,5,0.75,0,3,0
927,1,3,1,3,6,15,1,1,1
928,0,3,0,3,4,15,1,4,1
929,0,2,0,4,1,15,1,2,0
931,0,1,0,1,1,1.5,0,5,0
933,0,1,1,3,5,7,1,3,1
945,0,2,0,2,4,10,0,4,0
947,0,2,1,4,5,15,1,3,0
949,0,3,0,3,3,15,1,3,0
950,1,1,1,2,5,4,0,5,0
951,1,2,0,2,4,7,1,2,1
961,1,3,1,2,6,7,1,2,0
965,1,1,1,2,5,0.75,0,5,0
966,0,1,1,2,4,4,0,5,0
967,1,3,1,5,6,1.5,0,5,0
968,1,1,0,4,2,4,0,5,1
972,1,1,1,3,6,7,1,4,1
975,0,2,1,1,5,15,1,5,1
977,0,2,1,3,1,15,1,3,1
981,0,1,1,2,5,7,0,5,1
986,0,2,1,3,5,7,1,3,1
987,1,1,1,4,6,1.5,0,5,0
990,1,1,1,4,5,4,0,3,0
992,0,1,0,1,5,4,1,4,0
995,1,2,1,5,4,15,1,5,0
1002,1,2,0,2,2,1.5,1,4,1
1007,0,3,0,4,1,15,1,2,1
1009,0,2,1,3,6,10,1,3,0
1011,1,2,0,3,5,10,1,4,1
1021,1,3,1,4,6,15,1,5,0
1026,0,3,1,4,5,15,1,5,0
1027,1,1,1,4,5,1.5,0,4,0
1030,0,2,0,3,1,10,1,4,0
1031,0,1,0,1,3,7,1,5,0
1034,0,2,1,4,5,10,1,4,0
1035,1,2,1,1,6,4,1,3,1
1037,1,1,1,2,2,1.5,1,4,0
1038,1,2,0,4,5,15,1,5,0
1039,1,3,0,3,4,4,1,5,0
1045,0,2,0,5,5,15,1,4,0
1046,0,2,1,4,5,7,1,5,0
1050,0,1,1,2,5,4,1,3,1
1054,0,3,1,4,6,15,1,5,0
1056,0,3,0,3,4,15,1,3,1
1057,1,1,1,5,6,10,1,5,1
1059,1,1,1,4,6,4,0,4,0
1063,1,1,1,4,6,0.75,0,5,0
1068,1,1,0,4,5,4,1,3,0
1070,0,1,1,5,1,0.75,0,5,0
1072,0,3,0,5,5,15,1,5,0
1073,1,2,0,3,5,10,1,5,0
1075,1,2,1,2,6,10,1,2,1
1077,0,2,1,4,4,15,1,4,0
1080,0,1,0,1,3,7,1,3,1
1081,1,2,1,2,5,7,1,4,0
1083,0,3,1,3,1,15,1,4,0
1084,1,2,1,1,5,15,1,5,0
1086,1,1,1,3,5,4,1,5,0
1087,0,2,0,4,3,15,1,4,0
1089,1,1,0,3,2,0.75,1,4,0
1096,0,1,1,3,5,1.5,0,3,0
1102,0,3,0,4,3,15,1,5,0
1103,0,3,1,3,5,15,1,4,0
1107,1,2,1,5,6,15,1,4,0
1109,0,3,0,4,2,15,1,3,0
1115,1,3,1,2,6,15,1,4,0
1119,1,2,1,4,5,7,1,5,0
1124,0,1,1,4,1,7,1,4,0
1125,0,1,0,4,1,7,1,2,1
1126,1,1,1,1,6,1.5,0,5,0
1128,0,1,0,3,1,4,1,4,0
1129,0,1,0,2,1,1.5,0,5,0
1130,1,3,1,2,6,15,1,4,0
1131,1,2,0,2,4,10,1,4,1
1133,1,3,0,4,2,15,1,4,0
1138,0,1,0,2,1,0.75,1,3,1
1140,0,1,1,2,1,7,1,5,0
1143,0,1,0,3,1,4,1,5,0
1146,1,2,0,4,5,15,1,3,0
1150,0,2,1,3,5,15,1,4,1
1153,1,2,1,1,6,7,1,4,0
1156,0,1,0,2,5,1.5,0,5,0
1157,0,1,0,3,1,1.5,1,3,0
1158,1,3,0,2,5,15,1,5,0
1160,0,2,0,2,1,15,1,1,0
1161,0,2,0,2,5,10,1,5,0
1163,0,1,0,4,4,7,0,3,1
1166,1,3,1,4,4,15,1,5,0
1169,1,2,1,4,6,7,1,5,1
1177,0,1,1,3,4,4,1,5,0
1178,1,2,1,4,6,15,1,5,0
1180,1,1,1,3,5,1.5,0,5,0
1187,0,1,1,2,6,0.125,0,3,0
1191,1,2,1,2,6,10,1,3,0
1195,0,1,1,4,5,4,0,4,0
1198,1,1,1,2,6,4,1,2,1
1204,0,1,0,5,5,1.5,1,3,1
1207,0,1,0,2,5,7,1,1,0
1208,1,2,1,5,6,4,1,3,0
1209,0,2,1,2,5,15,1,5,0
1211,1,3,1,4,6,15,0,4,0
1215,1,1,1,1,5,1.5,0,5,0
1218,0,2,1,3,5,15,0,1,1
1221,1,2,1,4,6,15,1,4,0
1226,0,2,1,4,1,15,1,4,0
1229,0,2,1,4,5,7,1,4,0
1230,0,3,0,2,1,15,1,2,1
1231,0,3,0,3,1,15,1,3,0
1234,0,1,1,3,1,7,1,4,0
1235,1,1,1,3,4,1.5,0,2,0
1236,1,3,1,3,5,15,1,4,1
1242,1,1,1,3,3,1.5,0,5,0
1245,1,1,1,3,4,4,1,2,0
1247,1,2,1,2,4,10,0,2,1
1259,0,2,0,3,1,15,1,1,1
1260,0,1,0,3,1,7,1,2,0
1266,0,2,1,2,5,15,1,4,0
1271,0,2,0,3,4,7,1,4,0
1273,1,1,1,2,5,1.5,0,5,0
1276,1,2,1,5,5,15,1,4,0
1280,0,1,1,4,5,1.5,0,3,0
1282,0,2,1,4,1,10,1,5,0
1285,1,1,1,2,5,4,0,3,0
1294,1,3,1,5,4,15,1,5,1
1295,0,1,0,4,5,0.4169999957084656,0,5,0
1298,0,1,1,2,5,4,0,5,0
1299,1,2,1,4,5,15,1,3,0
1304,1,2,1,5,7,10,1,4,0
1305,0,1,0,2,4,7,1,2,0
1311,1,2,1,2,5,4,1,5,0
1314,1,2,1,2,6,4,1,4,0
1319,1,1,1,3,4,1.5,0,5,0
1322,0,1,0,4,3,4,1,4,0
1324,0,1,1,2,5,0.75,0,4,0
1327,1,2,1,4,4,10,1,5,0
1328,0,2,0,5,3,0.75,0,3,0
1330,1,2,1,4,5,15,1,3,0
1332,1,2,0,3,4,4,0,5,0
1333,0,1,1,2,3,1.5,0,2,0
1336,0,1,0,4,1,7,1,5,0
1341,1,3,0,5,6,15,1,5,0
1344,1,1,1,1,4,4,1,4,0
1352,0,2,0,5,1,15,1,3,0
1353,1,3,1,4,6,15,1,4,1
1358,1,3,1,4,5,4,1,5,0
1359,0,2,0,2,1,4,1,5,0
1361,1,3,0,2,7,15,1,4,0
1364,0,1,1,2,1,1.5,0,4,0
1368,1,3,0,4,2,15,1,4,0
1370,0,3,1,2,6,15,1,3,1
1384,0,1,1,3,1,0.4169999957084656,0,5,0
1390,0,1,1,2,5,1.5,0,5,0
1393,1,1,1,4,6,4,1,4,0
1394,0,2,0,4,1,15,1,5,0
1402,0,1,1,2,3,1.5,0,5,0
1407,1,2,1,1,6,4,0,5,0
1408,1,2,1,3,6,15,1,4,0
1412,0,2,1,2,6,10,0,5,0
1413,0,2,0,5,5,10,1,5,0
1416,1,2,1,4,5,1.5,1,3,0
1417,1,2,1,2,4,1.5,0,4,0
1418,0,2,0,4,1,10,1,4,0
1419,0,3,1,4,5,15,1,4,0
1420,0,1,0,5,1,10,1,5,0
1423,1,1,1,3,4,4,1,5,0
1424,0,2,0,4,4,15,1,2,0
1427,1,2,1,3,6,15,1,3,1
1432,0,1,1,4,5,0.75,0,5,0
1433,0,2,1,4,1,15,1,5,0
1437,0,2,1,3,1,15,1,5,0
1438,0,1,1,2,1,10,1,5,0
1439,1,1,1,2,6,7,0,5,0
1445,1,2,1,5,5,15,1,2,1
1446,0,2,0,2,1,15,1,3,0
1450,1,1,1,2,4,1.5,1,4,0
1451,0,1,0,2,1,0.75,1,5,0
1452,1,1,0,4,2,4,1,4,0
1453,1,3,1,4,6,0.125,0,4,0
1456,1,1,1,4,6,1.5,1,5,0
1460,1,1,1,2,6,10,1,4,1
1464,1,1,1,3,6,7,1,3,0
1469,0,3,0,4,1,15,1,3,0
1473,1,1,1,5,5,1.5,0,2,0
1480,1,2,1,2,5,15,1,4,1
1481,0,1,1,2,5,1.5,0,5,0
1482,0,1,1,3,5,1.5,0,5,0
1496,1,1,1,5,4,0.125,0,4,0
1497,0,1,1,4,1,4,1,5,0
1504,0,1,0,4,1,4,1,5,0
1505,0,2,0,1,5,15,1,2,1
1513,0,3,0,2,5,15,1,5,0
1515,0,2,0,3,5,15,1,3,0
1534,1,3,1,2,5,7,1,5,0
1535,1,1,1,4,6,0.75,0,4,0
1536,1,1,1,3,6,0.125,0,5,0
1540,1,2,1,3,6,10,1,5,0
1543,1,2,1,3,6,10,1,3,1
1548,1,2,1,4,5,15,1,1,1
1550,0,1,1,2,5,1.5,0,5,1
1551,0,1,0,5,4,0.4169999957084656,0,5,0
1555,0,3,0,5,1,15,1,4,0
1557,0,2,0,3,1,10,1,5,0
1561,0,3,1,2,5,15,1,2,1
1564,1,2,1,2,5,15,1,4,1
1566,1,3,1,4,5,15,1,5,0
1567,1,1,1,3,6,4,1,5,0
1573,0,1,0,2,5,4,0,5,1
1575,0,1,0,4,1,10,1,5,1
1576,0,2,1,4,1,7,1,5,0
1584,0,2,1,4,1,10,1,5,0
1585,0,2,1,1,1,10,1,4,0
1590,0,1,0,3,1,4,0,4,0
1594,0,1,0,4,3,7,1,2,0
1595,1,3,1,5,5,15,1,2,0
1599,0,1,1,3,1,4,1,3,1
1603,1,2,1,2,5,7,1,5,0
1608,0,1,1,4,1,1.5,0,3,0
1609,1,1,0,4,5,1.5,0,5,0
1615,0,1,0,4,5,1.5,1,4,0
1616,0,2,1,3,1,7,1,5,0
1617,0,3,1,3,5,15,1,4,0
1620,0,1,1,3,1,0.75,0,5,0
1621,0,1,0,2,5,1.5,1,5,0
1622,1,3,1,4,5,7,0,5,1
1629,0,1,1,1,3,4,1,5,1
1637,0,1,1,1,5,4,1,5,0
1638,1,3,1,4,5,15,1,5,0
1650,1,2,1,4,6,10,1,5,0
1654,1,3,1,4,6,15,1,4,0
1664,0,2,1,2,6,15,1,4,1
1665,0,1,0,2,1,7,1,2,0
1669,0,1,1,1,3,4,0,1,1
1670,0,1,0,4,4,1.5,0,5,0
1671,0,2,1,2,5,10,1,4,0
1674,0,1,0,2,3,0.75,1,5,1
1675,0,1,1,2,5,0.75,0,4,0
1682,0,2,1,5,5,15,1,4,1
1685,0,1,1,1,3,4,0,5,1
1688,0,1,1,2,5,1.5,0,5,0
1691,0,3,1,3,6,15,1,4,0
1695,0,1,0,5,4,7,1,5,0
1697,1,2,1,4,6,4,1,4,1
1698,1,3,1,4,4,15,1,4,0
1704,0,3,1,3,5,15,1,2,0
1705,1,3,1,3,6,15,1,2,0
1711,0,2,0,2,1,7,1,2,0
1716,0,1,1,3,5,1.5,1,2,1
1719,1,1,0,5,4,4,0,5,0
1723,0,1,1,1,6,1.5,0,5,0
1726,0,1,0,1,4,0.75,0,5,0
1730,0,3,1,2,5,15,1,4,1
1731,1,2,1,4,4,7,1,4,1
1732,1,2,0,3,6,15,0,2,1
1743,1,3,1,3,6,15,1,3,1
1749,0,2,0,4,1,15,1,5,0
1751,1,1,1,1,5,4,1,4,1
1752,1,1,1,2,5,1.5,0,3,0
1754,1,1,1,5,2,4,1,5,0
1757,1,2,1,4,7,15,1,3,1
1758,0,1,0,4,1,4,1,5,0
1761,1,3,1,5,5,15,1,4,0
1763,1,2,1,3,6,15,1,4,1
1766,1,1,0,2,3,1.5,0,3,1
1772,1,2,1,3,6,4,1,2,1
1773,1,2,1,2,7,1.5,0,3,0
1775,1,3,0,4,3,15,0,1,0
1776,1,2,1,5,6,15,1,5,1
1782,0,3,1,1,5,15,1,5,1
1784,1,3,1,1,6,15,0,5,1
1786,1,2,1,4,5,7,0,5,0
1791,0,2,1,4,4,15,1,4,1
1793,1,3,1,2,5,15,1,4,0
1799,1,3,1,4,6,15,1,5,0
1803,0,1,1,2,5,7,0,4,0
1806,0,1,0,4,5,7,1,5,0
1807,0,1,0,2,3,4,0,3,0
1808,1,2,1,2,6,7,1,5,0
1814,1,1,0,4,4,7,0,3,0
1815,1,3,1,4,6,10,1,4,0
1818,0,1,0,3,1,1.5,0,5,0
1827,0,1,0,2,1,4,1,3,0
1831,0,2,0,3,3,15,1,2,1
1834,0,3,1,4,6,15,0,5,0
1835,1,2,0,4,4,15,1,3,0
1840,0,1,1,4,1,7,1,2,1
1843,0,1,1,3,5,7,1,5,0
1844,1,3,1,3,6,15,1,2,1
1846,0,1,0,4,4,10,0,5,0
1850,1,1,1,4,5,4,1,5,0
1851,0,1,1,2,1,4,1,4,0
1854,0,2,0,2,5,15,1,1,0
1856,0,3,0,2,3,15,1,2,1
1859,0,1,0,5,1,1.5,0,4,0
1861,1,1,1,2,5,7,1,4,0
1866,1,1,0,4,5,4,1,5,0
1873,1,1,1,1,3,0.125,0,5,0
1875,0,1,0,4,1,7,1,4,0
1876,1,1,1,2,5,7,1,4,1
1885,0,2,1,5,5,15,1,3,0
1892,1,2,1,4,5,10,1,4,0
1895,0,2,0,2,3,15,1,4,0
1896,0,1,1,3,5,1.5,0,5,0
1897,1,1,1,4,4,4,1,4,0
1899,0,3,0,5,1,15,1,5,0
1904,0,1,0,2,1,7,1,2,0
1905,0,1,0,3,1,7,1,4,0
1908,0,3,0,2,1,15,1,4,0
1916,0,3,0,4,5,15,1,4,0
1918,1,1,0,4,3,7,1,3,0
1920,1,1,1,2,6,7,1,2,0
1929,1,2,0,4,4,10,1,3,1
1930,0,3,0,3,3,15,1,3,0
1935,1,3,1,3,4,15,1,2,1
1938,1,1,0,1,2,1.5,1,5,1
1940,1,1,1,3,3,4,1,5,0
1941,0,2,1,2,5,10,1,4,1
1947,0,1,0,3,1,7,1,4,0
1949,0,1,0,2,4,1.5,0,5,0
1951,0,1,0,4,1,4,1,4,0
1952,0,1,0,4,5,4,0,5,0
1954,1,2,1,2,6,10,1,5,1
1959,1,1,1,3,6,7,1,2,1
1960,0,1,1,2,4,1.5,0,5,0
9001,1,3,0,4,5,15,0,4,0
9010,0,2,0,3,1,15,1,5,1
9012,1,2,1,2,6,10,1,2,0
9023,1,2,1,3,5,15,1,4,0
9029,0,1,1,2,1,4,1,4,0
